solver_type,initial_word,word,num_attempts
random,trace,comet,6
random,trace,hotel,6
random,trace,serve,7
random,trace,space,5
random,trace,manly,6
random,trace,qualm,5
random,trace,these,7
random,trace,mince,6
random,trace,whisk,4
random,trace,choir,6
random,trace,cramp,6
random,trace,thorn,4
random,trace,atone,5
random,trace,stock,4
random,trace,trice,2
random,trace,barge,3
random,trace,flesh,6
random,trace,gaudy,9
random,trace,block,2
random,trace,helix,4
random,trace,lapel,8
random,trace,liner,9
random,trace,judge,6
random,trace,leery,6
random,trace,agony,6
random,trace,great,3
random,trace,midge,4
random,trace,worst,6
random,trace,spike,7
random,trace,aloft,7
random,trace,snare,8
random,trace,probe,6
random,trace,grate,4
random,trace,kiosk,7
random,trace,axiom,6
random,trace,brook,6
random,trace,totem,6
random,trace,buggy,6
random,trace,valid,7
random,trace,still,7
random,trace,ample,8
random,trace,foray,7
random,trace,prove,5
random,trace,house,7
random,trace,beget,6
random,trace,hello,6
random,trace,crass,5
random,trace,duvet,7
random,trace,badge,7
random,trace,charm,9
random,trace,ferry,6
random,trace,beset,5
random,trace,essay,6
random,trace,groin,3
random,trace,piano,5
random,trace,lemon,6
random,trace,fault,5
random,trace,lilac,7
random,trace,tawny,6
random,trace,egret,6
random,trace,upset,7
random,trace,untie,5
random,trace,trust,6
random,trace,solve,8
random,trace,colon,7
random,trace,avert,7
random,trace,store,7
random,trace,spell,7
random,trace,oxide,7
random,trace,flank,6
random,trace,noise,4
random,trace,khaki,5
random,trace,being,6
random,trace,spoke,4
random,trace,quick,3
random,trace,worse,5
random,trace,right,8
random,trace,saute,9
random,trace,rocky,7
random,trace,tryst,3
random,trace,wrung,5
random,trace,mouse,6
random,trace,onset,6
random,trace,trade,4
random,trace,usual,7
random,trace,debug,6
random,trace,guild,5
random,trace,mercy,3
random,trace,cheek,6
random,trace,mealy,6
random,trace,tacit,6
random,trace,kayak,4
random,trace,loopy,5
random,trace,ledge,8
random,trace,folly,8
random,trace,shorn,3
random,trace,bagel,6
random,trace,movie,6
random,trace,antic,6
random,trace,yearn,5
llm,trace,comet,4
llm,trace,hotel,4
llm,trace,serve,4
llm,trace,space,3
llm,trace,manly,4
llm,trace,qualm,7
llm,trace,these,3
llm,trace,mince,3
llm,trace,whisk,4
llm,trace,choir,4
llm,trace,cramp,6
llm,trace,thorn,5
llm,trace,atone,4
llm,trace,stock,3
llm,trace,trice,3
llm,trace,barge,5
llm,trace,flesh,5
llm,trace,gaudy,6
llm,trace,block,3
llm,trace,helix,6
llm,trace,lapel,6
llm,trace,liner,7
llm,trace,judge,3
llm,trace,leery,3
llm,trace,agony,5
llm,trace,great,4
llm,trace,midge,6
llm,trace,worst,4
llm,trace,spike,5
llm,trace,aloft,4
llm,trace,snare,3
llm,trace,probe,3
llm,trace,grate,4
llm,trace,kiosk,4
llm,trace,axiom,4
llm,trace,brook,3
llm,trace,totem,4
llm,trace,buggy,5
llm,trace,valid,6
llm,trace,still,5
llm,trace,ample,5
llm,trace,foray,4
llm,trace,prove,4
llm,trace,house,3
llm,trace,beget,5
llm,trace,hello,4
llm,trace,crass,4
llm,trace,duvet,6
llm,trace,badge,3
llm,trace,charm,5
llm,trace,ferry,5
llm,trace,beset,5
llm,trace,essay,6
llm,trace,groin,4
llm,trace,piano,4
llm,trace,lemon,4
llm,trace,fault,5
llm,trace,lilac,4
llm,trace,tawny,4
llm,trace,egret,6
llm,trace,upset,5
llm,trace,untie,5
llm,trace,trust,4
llm,trace,solve,4
llm,trace,colon,4
llm,trace,avert,5
llm,trace,store,4
llm,trace,spell,4
llm,trace,oxide,5
llm,trace,flank,3
llm,trace,noise,5
llm,trace,khaki,7
llm,trace,being,5
llm,trace,spoke,6
llm,trace,quick,3
llm,trace,worse,5
llm,trace,right,6
llm,trace,saute,5
llm,trace,rocky,3
llm,trace,tryst,5
llm,trace,wrung,5
llm,trace,mouse,4
llm,trace,onset,4
llm,trace,trade,2
llm,trace,usual,5
llm,trace,debug,5
llm,trace,guild,4
llm,trace,mercy,5
llm,trace,cheek,6
llm,trace,mealy,8
llm,trace,tacit,5
llm,trace,kayak,5
llm,trace,loopy,7
llm,trace,ledge,5
llm,trace,folly,7
llm,trace,shorn,5
llm,trace,bagel,6
llm,trace,movie,4
llm,trace,antic,5
llm,trace,yearn,5
