solver_type,initial_word,word,num_attempts
random,reast,comet,5
random,reast,hotel,8
random,reast,serve,7
random,reast,space,7
random,reast,manly,7
random,reast,qualm,4
random,reast,these,6
random,reast,mince,6
random,reast,whisk,7
random,reast,choir,5
random,reast,cramp,5
random,reast,thorn,7
random,reast,atone,7
random,reast,stock,6
random,reast,trice,4
random,reast,barge,4
random,reast,flesh,4
random,reast,gaudy,6
random,reast,block,4
random,reast,helix,7
random,reast,lapel,5
random,reast,liner,6
random,reast,judge,5
random,reast,leery,3
random,reast,agony,8
random,reast,great,6
random,reast,midge,6
random,reast,worst,6
random,reast,spike,5
random,reast,aloft,4
random,reast,snare,6
random,reast,probe,5
random,reast,grate,10
random,reast,kiosk,4
random,reast,axiom,6
random,reast,brook,7
random,reast,totem,6
random,reast,buggy,7
random,reast,valid,6
random,reast,still,7
random,reast,ample,7
random,reast,foray,4
random,reast,prove,5
random,reast,house,8
random,reast,beget,4
random,reast,hello,4
random,reast,crass,6
random,reast,duvet,6
random,reast,badge,6
random,reast,charm,10
random,reast,ferry,8
random,reast,beset,6
random,reast,essay,7
random,reast,groin,5
random,reast,piano,7
random,reast,lemon,7
random,reast,fault,7
random,reast,lilac,8
random,reast,tawny,5
random,reast,egret,6
random,reast,upset,6
random,reast,untie,6
random,reast,trust,4
random,reast,solve,7
random,reast,colon,5
random,reast,avert,5
random,reast,store,8
random,reast,spell,5
random,reast,oxide,4
random,reast,flank,5
random,reast,noise,4
random,reast,khaki,5
random,reast,being,5
random,reast,spoke,5
random,reast,quick,5
random,reast,worse,6
random,reast,right,4
random,reast,saute,9
random,reast,rocky,4
random,reast,tryst,5
random,reast,wrung,5
random,reast,mouse,3
random,reast,onset,6
random,reast,trade,4
random,reast,usual,5
random,reast,debug,5
random,reast,guild,5
random,reast,mercy,4
random,reast,cheek,6
random,reast,mealy,4
random,reast,tacit,7
random,reast,kayak,7
random,reast,loopy,6
random,reast,ledge,3
random,reast,folly,10
random,reast,shorn,8
random,reast,bagel,6
random,reast,movie,8
random,reast,antic,7
random,reast,yearn,4
llm,reast,comet,3
llm,reast,hotel,4
llm,reast,serve,6
llm,reast,space,3
llm,reast,manly,4
llm,reast,qualm,6
llm,reast,these,4
llm,reast,mince,4
llm,reast,whisk,4
llm,reast,choir,3
llm,reast,cramp,5
llm,reast,thorn,5
llm,reast,atone,6
llm,reast,stock,4
llm,reast,trice,7
llm,reast,barge,5
llm,reast,flesh,5
llm,reast,gaudy,4
llm,reast,block,3
llm,reast,helix,4
llm,reast,lapel,6
llm,reast,liner,7
llm,reast,judge,4
llm,reast,leery,6
llm,reast,agony,4
llm,reast,great,5
llm,reast,midge,5
llm,reast,worst,3
llm,reast,spike,4
llm,reast,aloft,5
llm,reast,snare,6
llm,reast,probe,2
llm,reast,grate,6
llm,reast,kiosk,4
llm,reast,axiom,6
llm,reast,brook,3
llm,reast,totem,4
llm,reast,buggy,5
llm,reast,valid,4
llm,reast,still,4
llm,reast,ample,5
llm,reast,foray,5
llm,reast,prove,5
llm,reast,house,4
llm,reast,beget,5
llm,reast,hello,5
llm,reast,crass,4
llm,reast,duvet,3
llm,reast,badge,5
llm,reast,charm,4
llm,reast,ferry,5
llm,reast,beset,4
llm,reast,essay,5
llm,reast,groin,4
llm,reast,piano,3
llm,reast,lemon,6
llm,reast,fault,4
llm,reast,lilac,5
llm,reast,tawny,7
llm,reast,egret,4
llm,reast,upset,6
llm,reast,untie,6
llm,reast,trust,3
llm,reast,solve,4
llm,reast,colon,4
llm,reast,avert,6
llm,reast,store,5
llm,reast,spell,4
llm,reast,oxide,5
llm,reast,flank,4
llm,reast,noise,4
llm,reast,khaki,5
llm,reast,being,3
llm,reast,spoke,6
llm,reast,quick,4
llm,reast,worse,4
llm,reast,right,2
llm,reast,saute,5
llm,reast,rocky,4
llm,reast,tryst,4
llm,reast,wrung,5
llm,reast,mouse,4
llm,reast,onset,5
llm,reast,trade,8
llm,reast,usual,5
llm,reast,debug,4
llm,reast,guild,3
llm,reast,mercy,4
llm,reast,cheek,4
llm,reast,mealy,5
llm,reast,tacit,4
llm,reast,kayak,4
llm,reast,loopy,5
llm,reast,ledge,4
llm,reast,folly,7
llm,reast,shorn,5
llm,reast,bagel,7
llm,reast,movie,5
llm,reast,antic,5
llm,reast,yearn,4
